params	total_open	total_closed	total_won	total_lost	win_streak	lose_streak	pnl_net	strike_rate	cagr	sharpe	sortino	volatility	avg_win	avg_loss	max_drawdown
{'period': 18, 'multiplier': 4.0, 'length': 50, 'mav': 'EMA', 'printlog': False}	0	5	3	2	2	1	11.24	60	33.2765940340398	5.47471673736996	16.5993770414402	0.425137420884419	0.032900660857363	-0.013417409955058	-0.040633028344663
{'period': 16, 'multiplier': 4.0, 'length': 50, 'mav': 'EMA', 'printlog': False}	0	5	3	2	2	1	11.19	60	32.7521946478935	5.44949284609654	16.0428542818477	0.425316086610527	0.032550251664538	-0.013095469684079	-0.042280386146066
{'period': 18, 'multiplier': 3.5, 'length': 50, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	2	11.13	50	32.2181592843588	5.32553201962498	13.6439146836213	0.433984435900675	0.032614510047616	-0.013253875542759	-0.05040227818387
{'period': 14, 'multiplier': 2.0, 'length': 10, 'mav': 'EMA', 'printlog': False}	0	19	9	10	2	3	11.13	47.3684210526316	32.1421497565906	6.83799615561547	30.5075359123367	0.332646330888781	0.022972070184354	-0.005903300108872	-0.01191576495619
{'period': 16, 'multiplier': 4.5, 'length': 30, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	2	11.12	50	32.0886196219458	5.79525740304634	19.1434298637391	0.39587602763753	0.030981743072537	-0.011415232651921	-0.038619253744028
{'period': 6, 'multiplier': 2.0, 'length': 20, 'mav': 'EMA', 'printlog': False}	0	15	6	9	2	5	11.11	40	32.0229644755617	5.36731522206334	15.7173327274608	0.429525505267569	0.023702464601662	-0.014034089449492	-0.042222529989099
{'period': 10, 'multiplier': 2.0, 'length': 35, 'mav': 'EMA', 'printlog': False}	0	12	4	8	2	4	11.06	33.3333333333333	31.4930325958251	5.27271656849668	14.1415980172688	0.435787469345846	0.033775669536691	-0.009910011836424	-0.048227787808021
{'period': 4, 'multiplier': 2.5, 'length': 20, 'mav': 'EMA', 'printlog': False}	0	14	7	7	2	3	11.06	50	31.4725578678594	5.1231148074321	12.0507610630877	0.449553434342728	0.024151169095248	-0.014846523818908	-0.042969495425283
{'period': 2, 'multiplier': 3.0, 'length': 20, 'mav': 'EMA', 'printlog': False}	0	14	7	7	2	3	11.05	50	31.4318248387767	5.19572439455192	11.9436636087371	0.442594734396902	0.021002445719167	-0.019504930514505	-0.043264051159042
{'period': 16, 'multiplier': 5.0, 'length': 20, 'mav': 'EMA', 'printlog': False}	0	7	3	4	2	2	10.96	42.8571428571429	30.5266093464106	6.08787367800155	19.079917035414	0.370404734865792	0.03038110256058	-0.011131411110289	-0.03700110858109
{'period': 14, 'multiplier': 5.0, 'length': 25, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	2	10.96	50	30.4939102125245	5.69423658058674	17.6647776671134	0.397472323895408	0.031101684641422	-0.011933040962538	-0.038095600012438
{'period': 4, 'multiplier': 2.5, 'length': 15, 'mav': 'EMA', 'printlog': False}	0	15	6	9	2	4	10.91	40	30.0679006502036	5.34088562204765	17.0070089029777	0.42393598342864	0.02328509249926	-0.01379422617653	-0.029659162665291
{'period': 4, 'multiplier': 2.5, 'length': 30, 'mav': 'EMA', 'printlog': False}	0	12	4	8	2	4	10.88	33.3333333333333	29.8041399752058	5.23396352456903	14.7565400622877	0.432213249025373	0.033237944408692	-0.009744410973638	-0.04153947822641
{'period': 14, 'multiplier': 5.0, 'length': 20, 'mav': 'EMA', 'printlog': False}	0	7	3	4	2	2	10.81	42.8571428571429	29.1172728789958	6.06932754125674	18.8617083037992	0.366519275602324	0.029858987245465	-0.010841287225704	-0.036841915241925
{'period': 18, 'multiplier': 5.0, 'length': 45, 'mav': 'EMA', 'printlog': False}	0	5	3	2	2	1	10.74	60	28.546731694006	5.1438546311017	14.7946727281864	0.434793474371918	0.033712405283604	-0.012412267886263	-0.043035675336571
{'period': 14, 'multiplier': 4.5, 'length': 45, 'mav': 'EMA', 'printlog': False}	0	5	3	2	2	1	10.72	60	28.3327206007883	5.16566580584229	14.9975541202784	0.431830896333458	0.033308468509149	-0.015079703551961	-0.04165124119478
{'period': 2, 'multiplier': 2.0, 'length': 30, 'mav': 'EMA', 'printlog': False}	0	15	7	8	2	3	10.7	46.6666666666667	28.1496196637616	5.0328035897531	12.5656503895915	0.443391217068655	0.023277159407841	-0.014169541952672	-0.041092903766276
{'period': 4, 'multiplier': 2.0, 'length': 25, 'mav': 'EMA', 'printlog': False}	0	15	7	8	2	3	10.69	46.6666666666667	28.0778119959969	4.75818675192519	11.9418589783842	0.471006192429731	0.02844380316969	-0.012788416899877	-0.047473548966612
{'period': 2, 'multiplier': 4.0, 'length': 10, 'mav': 'EMA', 'printlog': False}	0	14	6	8	2	3	10.69	42.8571428571429	28.0542826883039	5.29759580413939	15.2468665335725	0.41901804033548	0.026480529752088	-0.010635795584982	-0.034421022262222
{'period': 2, 'multiplier': 4.5, 'length': 15, 'mav': 'EMA', 'printlog': False}	0	12	5	7	2	3	10.69	41.6666666666667	28.0539846852288	5.30357218527618	14.5483687841927	0.418531158446494	0.023456642401639	-0.014624002648008	-0.026169607774863
{'period': 12, 'multiplier': 2.0, 'length': 10, 'mav': 'EMA', 'printlog': False}	0	19	10	9	4	3	10.68	52.6315789473684	27.9589381787351	6.71177700660479	29.6364129567332	0.325764381818359	0.019068885511103	-0.007341289079438	-0.012722165556374
{'period': 4, 'multiplier': 2.0, 'length': 20, 'mav': 'EMA', 'printlog': False}	0	15	6	9	2	5	10.67	40	27.8899590953198	5.1127934416638	14.3264243804327	0.434613203566559	0.023994918346096	-0.015537684047864	-0.047068093141086
{'period': 4, 'multiplier': 3.0, 'length': 25, 'mav': 'EMA', 'printlog': False}	0	12	4	8	2	4	10.66	33.3333333333333	27.8242164177271	5.15189250985292	14.3229304049892	0.430765011791228	0.032881031648422	-0.009787724486749	-0.041900601153847
{'period': 8, 'multiplier': 2.0, 'length': 35, 'mav': 'EMA', 'printlog': False}	0	12	4	8	2	4	10.64	33.3333333333333	27.6835850333428	5.01625684183865	12.9142127482757	0.442756226210814	0.033755095794474	-0.010502429439866	-0.051284920516584
{'period': 12, 'multiplier': 4.5, 'length': 45, 'mav': 'EMA', 'printlog': False}	0	5	3	2	2	1	10.63	60	27.6039341868545	5.14549969795293	15.0905045333526	0.430281076755247	0.032898114641144	-0.014765367700489	-0.041327171594255
{'period': 14, 'multiplier': 5.0, 'length': 45, 'mav': 'EMA', 'printlog': False}	0	5	3	2	2	1	10.6	60	27.3368319988889	5.04262592638578	14.2047194676917	0.43852738657068	0.033969837357069	-0.012909555748007	-0.043959604418409
{'period': 10, 'multiplier': 2.5, 'length': 15, 'mav': 'EMA', 'printlog': False}	0	14	6	8	2	4	10.59	42.8571428571429	27.2632021469321	5.13319759850201	13.4765804902864	0.429827523944077	0.02036279547755	-0.019278730580136	-0.041485502278908
{'period': 6, 'multiplier': 4.0, 'length': 10, 'mav': 'EMA', 'printlog': False}	0	12	5	7	2	3	10.59	41.6666666666667	27.2000107291924	5.35156699470504	15.7637861572283	0.410649860778694	0.022946440454069	-0.013994125064579	-0.036686846491539
{'period': 14, 'multiplier': 2.0, 'length': 25, 'mav': 'EMA', 'printlog': False}	0	13	6	7	2	3	10.58	46.1538461538462	27.1652055778208	5.00978816305933	13.0984523369975	0.440828841107488	0.027561843612972	-0.012041268429705	-0.042984670216538
{'period': 12, 'multiplier': 2.0, 'length': 20, 'mav': 'EMA', 'printlog': False}	0	15	6	9	2	5	10.58	40	27.1059162694314	5.14089807284928	14.3509882893306	0.428360801215008	0.023508670870492	-0.014923992863238	-0.043189742569168
{'period': 12, 'multiplier': 3.0, 'length': 15, 'mav': 'EMA', 'printlog': False}	0	13	6	7	2	3	10.57	46.1538461538462	27.0618868113404	4.97109873601363	12.5573750942253	0.44406079962783	0.023898590140764	-0.015543127035109	-0.046631991817709
{'period': 2, 'multiplier': 2.5, 'length': 40, 'mav': 'EMA', 'printlog': False}	0	11	4	7	2	3	10.57	36.3636363636364	27.0462319641063	5.40881191524999	16.6540273568605	0.405291733107433	0.031834683050064	-0.009130912421214	-0.038884744559481
{'period': 10, 'multiplier': 2.0, 'length': 10, 'mav': 'EMA', 'printlog': False}	0	19	8	11	2	4	10.54	42.1052631578947	26.7674772857192	6.53897225212568	29.7318132240662	0.330480167571949	0.022068215580703	-0.005900900167026	-0.014078400013199
{'period': 2, 'multiplier': 2.5, 'length': 25, 'mav': 'EMA', 'printlog': False}	0	14	7	7	2	3	10.53	50	26.7481430658013	4.97110734246399	11.5459003787219	0.442549365735333	0.0205011609534	-0.019749756170817	-0.043170948257649
{'period': 10, 'multiplier': 2.5, 'length': 20, 'mav': 'EMA', 'printlog': False}	0	13	5	8	2	4	10.53	38.4615384615385	26.7377682335686	4.64434760289204	11.4603910526979	0.476583016393564	0.0291714049485	-0.013925522226138	-0.049978099216379
{'period': 16, 'multiplier': 5.0, 'length': 45, 'mav': 'EMA', 'printlog': False}	0	5	3	2	2	1	10.53	60	26.7144306111091	5.0483989803727	14.61920933357	0.434928632554922	0.033690511470388	-0.012779147040624	-0.042195985122533
{'period': 6, 'multiplier': 4.5, 'length': 45, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	2	10.52	50	26.6361366395631	5.02927237265086	13.2851292156849	0.436361073027618	0.032472074020124	-0.011571324600333	-0.053001920760067
{'period': 2, 'multiplier': 3.5, 'length': 10, 'mav': 'EMA', 'printlog': False}	0	15	6	9	2	3	10.5	40	26.4654416505178	5.36877911690054	17.5544371161628	0.40583711106412	0.031001499522465	-0.008542124151702	-0.020376214033705
{'period': 14, 'multiplier': 2.5, 'length': 15, 'mav': 'EMA', 'printlog': False}	0	14	6	8	2	4	10.48	42.8571428571429	26.2762778608512	5.11890525029067	13.9913345549352	0.426316567367962	0.022912643557133	-0.014117672475152	-0.038882838702235
{'period': 16, 'multiplier': 4.5, 'length': 45, 'mav': 'EMA', 'printlog': False}	0	5	3	2	2	1	10.46	60	26.1552277040303	4.99241058478712	13.9214386436839	0.437403645582423	0.033613166284119	-0.016020046069075	-0.043491473625615
{'period': 6, 'multiplier': 5.0, 'length': 40, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	2	10.46	50	26.1455685171084	5.05207228913977	15.0120710983122	0.431737965219968	0.033145400759503	-0.012372339709433	-0.04608303189117
{'period': 6, 'multiplier': 2.5, 'length': 20, 'mav': 'EMA', 'printlog': False}	0	14	6	8	2	3	10.43	42.8571428571429	25.9132764651627	4.74290719740102	11.1458762006163	0.461317190364949	0.024594160419227	-0.016992344751901	-0.046513189258672
{'period': 8, 'multiplier': 2.5, 'length': 15, 'mav': 'EMA', 'printlog': False}	0	14	6	8	2	4	10.42	42.8571428571429	25.7832092875129	5.06098832489103	13.0718842365696	0.429137087109444	0.020330432374992	-0.019740553196189	-0.04250083286569
